audiofile	scorefile	metadatafile	audiombid	workmbid	symbtrname	tonicfile	tonicfreq
audio/segah_pesrevi/segah_pesrevi.mp3	score/segah--pesrev--devrikebir----neyzen_yusuf_pasa.txt	audio/segah_pesrevi/metadata.json	4162f633-9b4f-4cdf-8284-fdb5aee5f7c4	97ffb9f6-7eca-4dc3-bc45-4d6c14e0fb2d	segah--pesrev--devrikebir----neyzen_yusuf_pasa	audio/segah_pesrevi/tonic.json	278.0
audio/88_Sevk-Efza_Saz_Semai_(Mansur_Ney)/88_Sevk-Efza_Saz_Semai_(Mansur_Ney).mp3	score/sevkefza--sazsemaisi--aksaksemai----said_dede.txt	audio/88_Sevk-Efza_Saz_Semai_(Mansur_Ney)/metadata.json	09053a05-182d-4335-8618-34365c9b2ad1	7d338307-ca89-4b5c-b93e-c797d0a4bf8d	sevkefza--sazsemaisi--aksaksemai----said_dede	audio/88_Sevk-Efza_Saz_Semai_(Mansur_Ney)/tonic.json	342.0
audio/87_Sevk-Efza_Saz_Semai_(Kiz_Ney)/87_Sevk-Efza_Saz_Semai_(Kiz_Ney).mp3	score/sevkefza--sazsemaisi--aksaksemai----said_dede.txt	audio/87_Sevk-Efza_Saz_Semai_(Kiz_Ney)/metadata.json	a0cac3d2-2c80-4710-985e-0c8ba73a4c26	7d338307-ca89-4b5c-b93e-c797d0a4bf8d	sevkefza--sazsemaisi--aksaksemai----said_dede	audio/87_Sevk-Efza_Saz_Semai_(Kiz_Ney)/tonic.json	385.0
audio/86_Sevk-Efza_Saz_Semai_(Kiz_Ney)/86_Sevk-Efza_Saz_Semai_(Kiz_Ney).mp3	score/sevkefza--sazsemaisi--aksaksemai----said_dede.txt	audio/86_Sevk-Efza_Saz_Semai_(Kiz_Ney)/metadata.json	57881591-3a1c-4c11-aa37-4f0e509bbff7	7d338307-ca89-4b5c-b93e-c797d0a4bf8d	sevkefza--sazsemaisi--aksaksemai----said_dede	audio/86_Sevk-Efza_Saz_Semai_(Kiz_Ney)/tonic.json	392.0
audio/81_Sehnaz_Pesrev_(Mansur_Ney)/81_Sehnaz_Pesrev_(Mansur_Ney).mp3	score/sehnaz--pesrev--zencir----kemani_ali_aga.txt	audio/81_Sehnaz_Pesrev_(Mansur_Ney)/metadata.json	e71c2c21-aeee-4525-ac00-b967cb9486bd	d1bb61c1-a779-4515-81f6-cda83473374a	sehnaz--pesrev--zencir----kemani_ali_aga	audio/81_Sehnaz_Pesrev_(Mansur_Ney)/tonic.json	442.0
audio/80_Sehnaz_Pesrev_(Kiz_Ney)/80_Sehnaz_Pesrev_(Kiz_Ney).mp3	score/sehnaz--pesrev--zencir----kemani_ali_aga.txt	audio/80_Sehnaz_Pesrev_(Kiz_Ney)/metadata.json	83359afb-6c01-4708-9cc4-4f70d78661b7	d1bb61c1-a779-4515-81f6-cda83473374a	sehnaz--pesrev--zencir----kemani_ali_aga	audio/80_Sehnaz_Pesrev_(Kiz_Ney)/tonic.json	497.0
audio/77_Segah_Saz_Semai_(Kiz_Ney)/77_Segah_Saz_Semai_(Kiz_Ney).mp3	score/segah--sazsemaisi--aksaksemai----nayi_osman_dede.txt	audio/77_Segah_Saz_Semai_(Kiz_Ney)/metadata.json	af5e7ec4-7c21-4a5c-80e4-7f11db588631	611c119a-62a0-4238-bb18-9ffe50d84d8b	segah--sazsemaisi--aksaksemai----nayi_osman_dede	audio/77_Segah_Saz_Semai_(Kiz_Ney)/tonic.json	560.0
audio/70_Saba_Saz_Semai_(Mansur_Ney)/70_Saba_Saz_Semai_(Mansur_Ney).mp3	score/saba--sazsemaisi--aksaksemai----neyzen_aziz_dede.txt	audio/70_Saba_Saz_Semai_(Mansur_Ney)/metadata.json	fa17872a-bb57-4201-bfce-eae96d2c2b08	6660aaa1-95ec-44f7-a3dd-1dbfa0c01107	saba--sazsemaisi--aksaksemai----neyzen_aziz_dede	audio/70_Saba_Saz_Semai_(Mansur_Ney)/tonic.json	441.0
audio/69_Saba_Saz_Semai_(Kiz_Ney)/69_Saba_Saz_Semai_(Kiz_Ney).mp3	score/saba--sazsemaisi--aksaksemai----neyzen_aziz_dede.txt	audio/69_Saba_Saz_Semai_(Kiz_Ney)/metadata.json	43fd753c-9c78-4eba-b75f-a08cbd45b4d8	6660aaa1-95ec-44f7-a3dd-1dbfa0c01107	saba--sazsemaisi--aksaksemai----neyzen_aziz_dede	audio/69_Saba_Saz_Semai_(Kiz_Ney)/tonic.json	496.0
audio/68_Saba_Pesrev_(Mansur_Ney)/68_Saba_Pesrev_(Mansur_Ney).mp3	score/saba--pesrev--devrikebir----tanburi_buyuk_osman_bey.txt	audio/68_Saba_Pesrev_(Mansur_Ney)/metadata.json	35ae2c0b-fd48-41ef-a9b2-f439daf636e4	4b6540da-6806-4521-aa86-389615d475e7	saba--pesrev--devrikebir----tanburi_buyuk_osman_bey	audio/68_Saba_Pesrev_(Mansur_Ney)/tonic.json	440.0
audio/67_Saba_Pesrev_(Kiz_Ney)/67_Saba_Pesrev_(Kiz_Ney).mp3	score/saba--pesrev--devrikebir----tanburi_buyuk_osman_bey.txt	audio/67_Saba_Pesrev_(Kiz_Ney)/metadata.json	f2ad97fa-6757-40aa-ba80-09546311167c	4b6540da-6806-4521-aa86-389615d475e7	saba--pesrev--devrikebir----tanburi_buyuk_osman_bey	audio/67_Saba_Pesrev_(Kiz_Ney)/tonic.json	495.0
audio/64_Rast_Pesrev_(Mansur_Ney)/64_Rast_Pesrev_(Mansur_Ney).mp3	score/rast--pesrev--devrikebir----giriftzen_asim_bey.txt	audio/64_Rast_Pesrev_(Mansur_Ney)/metadata.json	5c14ad3d-a97a-4e04-99b6-bf27f842f909	5acbd63f-63fa-4070-a2a2-79e2940de768	rast--pesrev--devrikebir----giriftzen_asim_bey	audio/64_Rast_Pesrev_(Mansur_Ney)/tonic.json	393.0
audio/63_Rast_Pesrev_(Kiz_Ney)/63_Rast_Pesrev_(Kiz_Ney).mp3	score/rast--pesrev--devrikebir----giriftzen_asim_bey.txt	audio/63_Rast_Pesrev_(Kiz_Ney)/metadata.json	4fd96367-4586-4303-904c-e313511ea871	5acbd63f-63fa-4070-a2a2-79e2940de768	rast--pesrev--devrikebir----giriftzen_asim_bey	audio/63_Rast_Pesrev_(Kiz_Ney)/tonic.json	440.0
